"snrdB","m1","m2","m3","m4","m5","enull","Qstat","snrdbHat","gammaMax","gamma2","gamma4","sigmaAa","sigmaA","sigmaAp","sigmaDp","mu42A","CRR","CRI","CII","CRRR","CRRI","CRII","CIII","CRRRR","CRRRI","CRRII","CRIII","CIIII","Xk45","Xk46","Xk47","Xk48","Xk49","Xk50","Xk51","Xk52","Xk53","Xk54","Xk55","Xk56","Xk57","Xk58","Xk59","Xk60","Xk61","Xk62","Xk63","Xk64","Xk65","Xk66","Xk67","Xk68","Xk69","Xk70","Xk71","Xk72","Xk73","Xk74","Xk75","Xk76","Xk77","Xk78","Xk79","Xk80","Xk81","Xk82","Xk83","Xk84","Xk85","Xk86","Xk87","Xk88","Xk89","Xk90","Xk91","Xk92","Xk93","Xk94","Xk95","Xk96","Xk97","Xk98","Xk99","Xk100","Xk101","Xk102","Xk103","Xk104","Xk105","Xk106","Xk107","Xk108","Xk109","Xk110","Xk111","Xk112","Xk113","Xk114","Xk115","Xk116","Xk117","Xk118","Xk119","Xk120","Xk121","Xk122","Xk123","Xk124","Xk125","Xk126","Xk127","Xk128","Xk129","Xk130","Xk131","Xk132","Xk133","Xk134","Xk135","Xk136","Xk137","Xk138","Xk139","Xk140","Xk141","Xk142","Xk143","Xk144","Xk145","Xk146","Xk147","Xk148","Xk149","Xk150","Xk151","Xk152","Xk153","Xk154","Xk155","Xk156","Xk157","Xk158","Xk159","Xk160","cl"
"5601",0,36.211,0.45075,0.38011,82,0.72517,2.0457,1317,0.19395,1.6401,22.282,811.56,0.26129,0.23712,0.93091,1.8596,0.5352,0.96583,0.032789,1.0607,0.12783,0.033073,0.049367,0.28752,-0.50096,-0.021814,-0.045839,-0.121,-0.38367,9.9254,13.519,19.041,2.6261,5.4752,5.8933,9.9707,11.453,18.97,10.335,3.696,8.3433,17.392,16.657,24.071,7.4139,13.639,9.0281,3.6933,10.589,7.967,15.863,10.553,10.045,8.485,8.3623,18.559,16.547,15.458,17.015,20.981,6.4642,8.2523,17.404,24.203,52.987,197.44,33.546,84.167,64.801,75.05,56.973,49.593,19.762,17.048,21.128,10.404,15.188,3.7278,26.488,24.894,15.596,28.504,16.538,14.503,33.735,24.49,4.9061,36.449,10.251,3.2381,12.704,9.66,26.742,17.336,7.0107,15.415,9.0668,8.0098,12.112,10.908,12.704,4.0877,13.535,16.618,13.628,7.2476,6.2946,5.5694,13.069,18.765,8.7531,7.6994,9.7217,6.8296,7.7999,12.847,13.886,13.392,1.7245,24.52,13.213,3.9954,9.9556,10.516,5.7789,10.054,29.001,16.263,5.9997,12.382,32.533,24.971,9.5735,11.387,9.7519,6.9614,12.453,25.976,23.688,18.067,3.3675,7.7087,5.8029,10.542,1.1649,4
"5602",0,35.395,0.80543,0.59794,81,0.74685,1.9796,1226.5,-0.089658,2.04,25.445,1007.2,0.24631,0.22482,0.91645,1.7246,0.51248,0.97112,-0.028138,0.9926,0.15602,0.0010576,-0.018951,0.011232,-0.48778,0.078473,-0.1489,0.0037613,-0.64907,2.2152,19.104,11.583,11.665,11.75,6.6163,12.697,12.608,17.444,16.159,27.578,6.1218,17.43,30.375,11.721,18.026,22.746,11.996,9.1217,9.167,20.066,26.871,4.7733,19.417,9.6512,14.097,22.249,15.724,8.1171,21.05,7.6111,20.87,8.1338,17.147,42.671,89.468,88.16,106.73,68.096,149.63,46.27,72.227,48.698,11.61,11.02,13.157,6.5738,14.862,21.046,9.1497,11.708,30.772,21.087,18.025,3.9937,11.136,8.7818,15.059,9.8085,12.304,14.313,13.01,19.779,13.052,20.492,8.7823,15.098,20.64,17.409,16.46,15.693,11.429,5.3724,13.182,15.112,9.8506,10.812,16.411,22.333,20.901,12.423,10.255,19.726,23.656,27.117,28.423,9.5193,9.59,6.5523,7.3568,4.0868,18.256,6.1987,11.862,16.751,5.7651,17.583,2.8768,5.1118,11.128,15.708,8.5924,10.667,22.591,22.112,19.525,22.865,14.467,24.414,13.511,22.241,10.227,12.825,11.824,19.404,5.9569,4
"5603",0,39.366,0.9005,0.70658,81,0.75607,1.9579,1228.3,-0.18663,2.4323,26.135,875.6,0.27352,0.25037,0.88573,1.9278,0.60671,0.89617,0.030439,0.95601,-0.13774,-0.079016,-0.019083,-0.096055,-0.33815,-0.039269,-0.14463,-0.11864,-0.56912,8.0789,19.751,18.884,7.0634,8.5611,7.5981,11.791,9.5543,27.327,7.1652,10.986,8.282,11.767,13.679,5.6346,6.0126,20.899,14.106,13.471,20.393,10.601,4.1514,16.749,13.872,11.131,10.018,21.049,15.826,10.375,19.176,14.819,8.0334,25.117,41.563,7.9182,96.782,68.332,116.8,62.46,136.97,59.21,56.901,20.824,21.162,11.25,3.9544,21.457,23.162,12.445,14.103,7.9225,16.921,12.762,10.946,17.864,19.186,13.278,4.7764,5.0452,24.206,17.623,15.733,14.792,16.426,3.3997,9.6463,18.579,24.197,14.023,18.785,7.473,17.113,12.922,4.1474,25.119,14.744,7.322,2.818,5.5537,15.482,6.6317,23.858,19.419,9.9036,16.438,11.421,4.9272,7.3525,10.847,20.49,23.502,22.337,6.138,8.664,23.378,10.506,35.636,4.7979,10.372,11.145,6.5948,21.693,6.7318,17.747,10.18,17.526,13.869,5.8612,14.008,4.2032,14.873,4.6911,9.1926,19.731,12.476,6.9588,4
"5604",0,40.631,1.1569,0.49464,81,0.78091,1.9543,1225.8,-0.20302,1.5032,21.113,714.07,0.26182,0.23441,0.94335,1.7778,0.53055,0.96656,-0.01143,0.99106,-0.0062001,-0.016334,-0.029536,0.19945,-0.40232,0.046629,-0.075141,-0.05603,-0.38084,16.18,9.7353,18.045,8.3624,15.277,2.7138,20.017,9.8261,11.445,20.16,9.3459,15.839,5.2045,12.812,2.5202,20.595,3.3353,17.233,16.864,11.785,11.714,10.224,5.8198,3.251,20.792,6.3537,22.365,12.428,11.666,2.9542,7.1844,37.241,29.656,11.819,15.92,74.081,80.143,103.19,93.811,149.77,53.101,75.762,28.549,3.4202,10.664,4.0455,29.084,13.766,6.1719,9.9193,9.2774,31.757,7.2589,16.259,14.222,17.273,13.845,7.7927,1.4714,14.788,23.409,27.824,4.1968,19.239,16.876,9.2705,15.802,3.8574,4.2459,12.34,15.175,15.037,8.9649,11.228,20.818,10.388,16.639,13.34,0.47426,2.0584,4.6829,14.577,5.8518,23.842,14.023,22.925,14.206,17.568,10.373,14.171,4.0637,3.1159,29.637,8.7445,15.551,8.2921,19.612,22.904,25.951,9.8231,11.925,11.309,11.908,13.235,36.182,18.104,5.0523,0.57363,3.3415,17.067,10.897,4.2245,7.6183,5.2204,14.099,10.588,4
"5605",0,36.408,0.9036,0.62577,81,0.80408,2.1623,1426.5,0.65301,1.349,21.997,1026.7,0.26483,0.22775,0.85032,1.73,0.5299,1.0607,0.0011089,1.0231,0.15385,0.0062617,0.14378,-0.017657,-0.79505,0.11916,-0.16793,0.030907,-0.40084,7.4626,19.805,2.2177,13.369,17.599,7.5351,9.4822,9.3125,37.148,11.636,7.6907,7.569,9.4219,11.087,15.886,31.413,1.5944,13.822,10.74,13.625,20.411,3.3076,21.07,9.4656,11.443,16.543,2.2103,16.562,21.306,22.43,14.936,10.485,7.95,18.832,40.97,98.21,92.846,110.38,82.81,156.94,60.266,90.02,48.45,26.954,17.843,12.784,8.4963,8.7053,24.222,23.937,7.2971,12.411,8.5532,14.393,12.163,3.4257,27.954,1.3069,14.749,14.724,7.8516,16.181,3.9261,1.6764,8.3354,1.2837,16.79,19.324,18.275,15.018,11.421,20.684,13.286,13.06,15.611,15.505,19.217,19.306,17.547,11.894,19.232,10.328,3.1788,6.3735,14.819,31.174,18.039,13.44,12.518,7.7901,16.257,4.8212,14.021,18.745,14.847,11.983,22.669,23.926,17.117,6.9567,16.209,18.933,6.076,16.276,9.9789,30.848,2.7791,23.252,24.78,20.851,22.289,29.692,12.869,10.215,7.1237,10.609,4
"5606",0,32.254,0.93901,0.57936,81,0.76158,2.103,1365.1,0.42562,2.7062,39.378,1691.8,0.27479,0.26155,0.86615,1.8392,0.61808,0.96087,0.03857,0.99153,-0.048301,0.080004,-0.021641,0.097916,-0.47833,-0.10331,-0.16459,-0.16406,-0.52135,9.9497,14.263,12.494,22.448,21.799,12.915,18.332,19.263,5.2122,30.37,3.1373,15.588,17.39,9.3979,18.447,12.74,13.188,13.428,19.01,13.913,20.206,7.5829,0.52936,16.21,17.165,24.074,20.783,13.304,3.7386,6.8094,6.3569,8.5448,10.721,28.24,18.263,87.488,74.498,115.67,77.87,151.01,64.659,78.976,21.796,22.925,26.666,29.29,13.89,21.506,17.121,18.132,12.405,4.6289,13.339,5.921,23.558,14.919,4.07,10.167,14.306,10.39,9.5104,18.976,11.681,2.4934,17.307,19.831,22.952,7.4653,10.733,23.788,22.952,9.4451,10.356,16.184,21.101,5.946,13.213,5.8067,17.852,5.6001,8.9108,3.0627,9.328,4.9222,18.109,16.196,15.647,14.508,16.288,28.149,25.582,9.2424,18.661,16.836,13.317,21.12,20.458,10.503,3.1481,3.7597,14.818,1.6861,6.7315,15.478,12.543,16.088,11.462,4.9948,4.6854,21.57,13.175,11.267,15.959,13.353,2.3957,13.867,4
"5607",0,30.802,0.72299,0.36521,82,0.74937,2.0077,1340.4,0.033435,1.6926,22.285,912.12,0.27103,0.24768,0.91825,1.9069,0.58906,1.0142,-0.0095294,0.89971,-0.1151,0.020912,0.038995,0.17672,-0.45098,-0.049771,0.079254,-0.073142,-0.59181,7.2612,21.943,12.717,17.365,18.953,13.332,16.603,10.383,6.1555,9.1832,3.3013,9.8717,12.627,6.9446,13.299,9.1264,13.622,17.238,13.718,11.286,21.709,6.7308,24.167,3.465,28.492,20.526,17.764,25.009,4.4263,11.26,17.919,53.971,13.734,4.8894,15.522,45.006,207.05,57.466,51.56,76.759,75.619,61.505,34.016,25.146,17.165,11.933,18.879,9.4729,9.7627,22.572,19.984,6.098,9.0093,4.1007,15.267,4.6929,26.763,19.168,22.758,6.4995,16.272,6.8678,11.926,24.12,13.551,2.5347,15.061,18.902,34.956,9.3986,20.118,4.6829,13.076,18.272,14.739,12.902,7.224,9.9421,3.1579,15.534,15.874,11.216,5.7808,12.358,11.871,24.603,15.767,23.016,11.569,12.014,28.955,14.214,8.6712,12.139,19.746,14.568,19.106,16.383,25.536,4.6211,17.857,5.5049,13.033,13.147,17.566,14.807,11.937,20.783,5.1608,19.51,6.031,5.8429,16.311,13.495,14.509,22.762,4
"5608",0,45.388,0.73771,0.58224,81,0.77135,1.9959,1249.1,-0.017794,1.5252,23.215,1638.7,0.28417,0.31551,0.91502,1.7886,0.7896,0.96501,-0.019537,1.0282,-0.11303,-0.018441,0.001235,0.0068441,-0.084421,-0.0037071,-0.16931,0.18031,-0.35891,26.354,11.904,4.9152,4.858,16.378,20.355,8.2053,25.246,19.846,5.6639,27.237,23.096,5.8732,15.022,3.8304,19.791,6.735,6.9462,11.031,21.222,17.682,19.956,18.987,14.513,11.439,6.1418,6.5096,33.723,3.2872,15.341,17.036,24.475,23.409,10.156,12.838,78.945,82.259,121.68,81.753,135.59,57.847,80.637,38.617,35.377,3.549,19.863,7.4515,9.7135,16.117,5.4476,17.805,18.836,2.941,18.662,2.887,9.4147,19.608,9.2402,1.9013,6.9814,5.2086,6.9913,7.9801,11.133,19.433,13.81,17.356,19.751,10.338,25.022,12.854,10.154,20.042,12.064,16.773,8.3765,15.146,26.554,8.4302,19.535,21.291,4.6514,11.711,2.1406,25.573,19.841,15.745,10.878,16.938,11.768,15.211,18.824,25.164,13.47,22.874,5.4972,7.4298,7.3298,8.1055,15.657,6.1163,13.827,16.879,19.989,29.319,14.968,23.287,11.01,4.6279,18.361,21.538,15.775,9.6859,6.2762,23.066,0.79659,4
"5609",0,34.22,0.51825,0.35947,82,0.73406,1.9113,1201,-0.40359,2.603,27.024,1262.8,0.27408,0.26471,0.9242,1.7824,0.63876,0.99812,-0.043132,1.0588,0.21822,0.014068,0.052902,-0.40562,-0.40875,0.037694,-0.26386,0.0026133,-0.22896,15.351,5.5949,11.203,28.139,8.656,12.187,8.0256,8.7815,26.589,13.767,15.665,17.171,3.9561,8.4394,14.475,17.64,13.748,29.979,17.057,34.502,11.725,5.8616,27.011,8.5489,26.615,6.5251,14.69,20.143,18.917,7.9779,28.732,15.581,10.276,4.3625,33.97,25.054,66.889,53.939,107.45,79.527,186.08,57.058,27.788,13.347,24.674,8.7928,13.996,14.782,16.323,11.878,3.2479,14.363,22.856,6.8432,19.325,25.14,22.669,21.659,9.7454,22.824,10.261,15.109,14.812,7.6065,7.7324,4.5911,22.932,4.4568,26.699,10.24,4.813,8.63,7.2605,12.493,19.471,15.928,12.416,20.774,14.675,8.162,16.939,10.749,24.23,41.611,4.0006,27.163,19.903,14.276,22.245,8.1019,26.593,8.2277,17.243,14.148,20.265,12.128,15.022,16.879,9.4758,16.51,32.357,11.24,14.602,14.475,5.9633,4.5564,2.0091,17.397,11.335,8.8835,21.806,17.374,13.722,6.7154,24.385,17.242,4
"5610",0,41.634,0.83267,0.29566,82,0.75929,1.945,1350.9,-0.24566,2.1855,28.509,2331,0.27801,0.30928,0.94872,1.8363,0.74587,0.98774,-0.013549,0.97935,-0.0061695,0.058854,-0.0087141,-0.10491,-0.1416,-0.01496,-0.13336,-0.042233,-0.52021,18.487,7.8204,17.957,14.673,18.375,9.3429,15.504,30.254,7.8,8.664,16.403,3.8907,18.745,5.753,7.6427,42.084,13.669,20.273,14.208,10.378,7.2823,10.577,11.761,6.5617,10.462,27.868,10.205,10.581,10.709,14.487,27.579,18.569,16.223,25.108,38.578,36.855,215.45,35.985,37.979,79.726,63.7,53.025,29.01,12.648,8.3614,8.9789,21.434,17.556,26.009,14.589,5.1202,10.398,12.735,27.863,20.834,4.2272,13.542,13.383,25.581,15.444,19.271,19.88,19.827,17.194,17.688,13.982,4.9442,26.999,19.362,21.069,27.809,9.0983,13.546,7.2132,3.5368,17.815,14.034,16.246,18.046,8.4606,13.89,34.801,7.2055,16.596,17.481,10.234,9.6787,30.24,14.826,16.791,19.324,11.179,7.4714,22.132,13.462,20.148,22.579,11.958,31.097,18.744,17.15,8.0229,15.572,18.556,10.538,23.763,7.1761,3.331,3.1436,9.5695,7.7544,12.837,6.4884,9.6969,26.86,28.196,4
