"m1","m2","m3","m4","m5","cl"
"1401",28.084,0.50321,0.55908,81,0.79173,4
"1402",55.311,0.63574,0.58586,81,0.75672,4
"1403",28.248,0.41817,0.48105,81,0.8003,4
"1404",46.533,0.72903,0.7627,81,0.77206,4
"1405",31.203,0.49942,0.76194,81,0.73678,4
"1406",31.698,0.88632,0.77689,81,0.76828,4
"1407",39.632,1.0687,0.32234,82,0.74967,4
"1408",58.222,0.41798,0.42633,82,0.76125,4
"1409",40.739,0.55902,0.69024,81,0.72913,4
"1410",47.593,1.0582,0.3577,82,0.77613,4
"1411",42.615,1.7172,0.63429,81,0.74532,4
"1412",36.701,0.68254,0.5958,81,0.76512,4
"1413",55.256,0.83663,0.58804,81,0.77943,4
"1414",40.362,1.0841,0.63689,81,0.79725,4
"1415",45.674,0.79578,0.56434,81,0.77548,4
"1416",35.565,0.50425,0.28968,82,0.76346,4
"1417",33.595,0.36734,0.58106,81,0.7993,4
"1418",55.602,0.68059,0.43486,82,0.72758,4
"1419",41.675,1.1474,0.39868,82,0.80705,4
"1420",61.588,1.5682,0.31806,82,0.80091,4
"1421",38.818,0.48838,0.65123,81,0.77299,4
"1422",48.455,1.0533,0.64536,83,0.7466,4
"1423",35.207,1.5099,0.32482,82,0.73964,4
"1424",52.526,1.0716,0.35262,82,0.78051,4
"1425",47.031,1.2979,0.64813,81,0.79732,4
"1426",36.496,1.3578,0.3124,82,0.73814,4
"1427",37.606,0.59809,0.31068,83,0.72168,4
"1428",30.765,0.48636,0.32573,83,0.69821,4
"1429",45.634,1.0296,0.39603,83,0.77624,4
"1430",44.726,1.1822,0.334,82,0.74445,4
"1431",31.968,0.94603,0.60304,81,0.77924,4
"1432",33.485,0.89591,0.70448,81,0.79991,4
"1433",49.943,0.65993,0.31984,83,0.75005,4
"1434",39.909,0.47136,0.36681,82,0.71119,4
"1435",53.749,0.32891,0.44365,82,0.78195,4
"1436",50.925,0.72725,0.63421,81,0.77076,4
"1437",46.036,0.78426,0.38838,82,0.75289,4
"1438",25.646,1.0261,0.33551,82,0.7927,4
"1439",45.552,1.259,0.68583,81,0.75514,4
"1440",55.572,0.96021,0.70248,81,0.75822,4
"1441",34.855,0.84916,0.54701,81,0.79649,4
"1442",46.066,1.1076,0.4139,82,0.78839,4
"1443",40.042,0.76428,0.22884,82,0.74671,4
"1444",50.908,0.72198,0.65614,81,0.77492,4
"1445",39.648,1.0408,0.69764,81,0.78699,4
"1446",67.833,0.65561,0.31632,83,0.75997,4
"1447",49.22,0.69512,0.48221,81,0.7943,4
"1448",42.877,0.69797,0.7244,81,0.7522,4
"1449",34.453,0.80199,0.4278,82,0.74031,4
"1450",60.985,1.0559,0.53582,81,0.77898,4
"1451",60.563,0.83981,0.6709,81,0.81815,4
"1452",36.425,0.64546,0.54266,81,0.79378,4
"1453",44.777,1.0202,0.62246,83,0.77155,4
"1454",36.441,1.5437,0.32376,82,0.74187,4
"1455",38.126,0.55357,0.55153,81,0.7822,4
"1456",41.897,1.0351,0.53792,81,0.79814,4
"1457",41.565,0.78023,0.53467,81,0.78223,4
"1458",29.898,0.72815,0.35994,82,0.73694,4
"1459",28.699,1.0762,0.73435,81,0.7788,4
"1460",34.543,0.49087,0.3542,82,0.78044,4
"1461",45.546,0.27542,0.48201,81,0.80985,4
"1462",51.402,1.3004,0.69842,81,0.76871,4
"1463",34.052,0.61828,0.52914,81,0.82291,4
"1464",45.326,0.73421,0.69135,81,0.81325,4
"1465",35.391,0.43118,0.66406,81,0.7572,4
"1466",23.034,0.71028,0.50429,81,0.77315,4
"1467",32.51,0.48607,0.6155,81,0.79828,4
"1468",33.524,1.9391,0.62971,81,0.8015,4
"1469",27.362,0.55956,0.41724,82,0.73317,4
"1470",30.745,0.53655,0.4222,82,0.76337,4
"1471",34.303,1.2272,0.34054,82,0.79789,4
"1472",53.191,1.6383,0.371,82,0.77901,4
"1473",28.07,0.65154,0.40642,82,0.79461,4
"1474",36.494,0.79402,0.3509,82,0.74544,4
"1475",39.761,1.3922,0.66461,81,0.78302,4
"1476",46.119,0.7379,0.59138,81,0.80582,4
"1477",52.406,0.87349,0.36365,82,0.8077,4
"1478",35.007,1.028,0.61066,81,0.77501,4
"1479",39.16,0.774,0.49149,81,0.7911,4
"1480",27.999,1.279,0.28106,82,0.78646,4
"1481",33.61,1.3749,0.64201,83,0.7968,4
"1482",41.832,0.69599,0.67433,81,0.79109,4
"1483",35.201,1.0492,0.38119,82,0.74718,4
"1484",24.008,0.60567,0.31803,82,0.76301,4
"1485",29.168,0.52187,0.30817,82,0.8298,4
"1486",43.803,1.0475,0.59105,81,0.79336,4
"1487",50.82,1.5937,0.58538,81,0.82714,4
"1488",44.718,0.89935,0.43787,82,0.77552,4
"1489",30.167,2.5817,0.65841,81,0.77517,4
"1490",45.814,0.50057,0.24745,82,0.77857,4
"1491",61.918,1.0409,0.25497,83,0.77171,4
"1492",44.117,0.8277,0.51521,81,0.78672,4
"1493",44.558,1.0258,0.67132,81,0.80899,4
"1494",32.126,0.62882,0.51727,81,0.77831,4
"1495",43.466,0.41786,0.52652,81,0.80138,4
"1496",35.625,0.73314,0.33892,82,0.79517,4
"1497",37.064,0.85043,0.49434,81,0.78232,4
"1498",44.573,0.8914,0.37284,82,0.81798,4
"1499",51.707,1.1631,0.74473,81,0.78424,4
"1500",33.645,1.2727,0.60235,81,0.80236,4
"3501",44.847,0.6039,0.69413,134,0.78628,5
"3502",48.763,0.39209,0.80726,137,0.80221,5
"3503",30.924,0.90329,0.84434,136,0.7826,5
"3504",45.949,0.95088,0.53262,137,0.75035,5
"3505",47.091,0.5129,0.63471,136,0.78455,5
"3506",39.803,0.61638,0.63373,137,0.77162,5
"3507",42.216,0.70588,0.5414,133,0.77052,5
"3508",42.432,0.80693,0.51919,136,0.8004,5
"3509",39.695,0.98208,0.61901,137,0.75151,5
"3510",43.227,0.90849,0.8882,137,0.80027,5
"3511",29.892,0.95837,0.58111,137,0.78605,5
"3512",30.958,1.0428,0.6489,137,0.7637,5
"3513",26.412,0.41696,0.4293,137,0.74978,5
"3514",50.648,0.41439,0.95538,137,0.81846,5
"3515",35.367,0.9346,0.6726,136,0.76762,5
"3516",34.534,1.0043,0.92938,136,0.73917,5
